구분,항목,Y1,Y2,Y3,단위,비고
가정,팝업 총 건수(롯데 전점),2000,2000,2000,건,[검증필요]
가정,침투율,15%,40%,60%,,
가정,유료 팝업 건수,300,800,1200,건,
가정,팝업 ASP,320,320,330,만원,
가정,상설 구독 연평균 재원 매장수,25,200,620,개,
가정,구독 월 요금,45,45,45,만원,
가정,컨설팅 수주,15,55,110,건,
가정,컨설팅 단가,1500,1500,1500,만원,
가정,인원,15,26,42,명,1인 1.0억
매출,① 팝업 솔루션 패키지,9.6,25.6,39.6,억원,
매출,② 상설 매장 구독,1.4,10.8,33.5,억원,리커링
매출,③ 성장 컨설팅,2.2,8.2,16.5,억원,
매출,③-1 성과연동 수수료,0.0,2.0,8.0,억원,L5 검증이 있어야 가능
매출,④ L.POINT 리타게팅(RMN),0.0,6.0,25.0,억원,리커링
매출,⑤ 벤치마크 라이선스,0.0,1.5,6.0,억원,리커링
매출,매출 합계,13.2,54.2,128.6,억원,
원가,팝업 변동비(건당 75만),2.2,6.0,9.0,억원,인사이트 분석공수 포함
원가,구독 변동비(매장 월 7만),0.2,1.7,5.2,억원,
원가,컨설팅 변동비(건당 400만),0.6,2.2,4.4,억원,외부 VMD·실사
원가,성과수수료 원가(10%),0.0,0.2,0.8,억원,
원가,RMN 매체원가(40%),0.0,2.4,10.0,억원,
원가,라이선스 원가(10%),0.0,0.2,0.6,억원,
원가,변동비 합계,3.1,12.6,30.0,억원,
이익,매출총이익,10.1,41.5,98.6,억원,
이익,매출총이익률,77%,77%,77%,,
판관비,인건비,15.0,26.0,42.0,억원,컨설턴트 비중 높음
판관비,인프라·솔루션,1.5,2.5,4.0,억원,
판관비,마케팅·영업,1.0,2.0,4.0,억원,
판관비,감가상각,0.3,1.2,2.2,억원,CAPEX 5년 정액
판관비,법무·정보보호·기타,0.5,1.0,1.5,억원,
판관비,판관비 합계,18.3,32.7,53.7,억원,
이익,영업이익,-8.2,8.8,44.9,억원,
이익,영업이익률,-,16%,35%,,
이익,누적 영업이익,-8.2,0.7,45.5,억원,누적 BEP = Y2 종료
투자,CAPEX,1.5,4.5,5.0,억원,누적 11.0
지표,리커링 매출 비중,11%,34%,51%,,구독+RMN+라이선스
